Name,Mean,SD,Median,Max,Min,n
Human Brain 1,,,,,,
Sup. longitudinal fascicle,,,,,,
left,0.72999999999999998,0.55000000000000004,0.56999999999999995,3.73,0.19,210
right,1.3400000000000001,0.90000000000000002,1.1399999999999999,4,0.23999999999999999,91
Uncinate/inferior occipitofr. fasc,,,,,,
left,0.60999999999999999,0.41999999999999998,0.46999999999999997,3.5699999999999998,0.22,303
right,0.54000000000000004,0.28000000000000003,0.46000000000000002,1.74,0.17000000000000001,409
Human Brain 2,,,,,,
Sup. longitudinal fascicle,,,,,,
left,0.81999999999999995,0.64000000000000001,0.64000000000000001,4.5800000000000001,0.19,165
right,0.71999999999999997,0.48999999999999999,0.58999999999999997,4.79,0.20999999999999999,365
Uncinate/inferior occipitofr. fasc,,,,,,
left,0.56000000000000005,0.32000000000000001,0.47999999999999998,2.0099999999999998,0.19,402
right,0.48999999999999999,0.38,0.51000000000000001,4.4199999999999999,0.17000000000000001,414
Corpus callosum,,,,,,
CC1,0.67000000000000004,0.41999999999999998,0.53000000000000003,2.5600000000000001,0.17000000000000001,389
CC2,0.67000000000000004,0.44,0.53000000000000003,3.1600000000000001,0.19,431
CC3,0.73999999999999999,0.46999999999999997,0.58999999999999997,2.7999999999999998,0.23999999999999999,250
Human Brain 3,,,,,,
Sup. longitudinal fascicle,,,,,,
left,0.63,0.39000000000000001,0.51000000000000001,2.7000000000000002,0.19,268
right,0.67000000000000004,0.39000000000000001,0.55000000000000004,2.9700000000000002,0.19,380
Uncinate/inferior occipitofr. fasc,,,,,,
left,0.45000000000000001,0.28000000000000003,0.35999999999999999,2.54,0.16,640
right,0.46999999999999997,0.28000000000000003,0.38,2.0899999999999999,0.17000000000000001,762
Corpus callosum,,,,,,
CC1,0.72999999999999998,0.47999999999999998,0.57999999999999996,2.4300000000000002,0.19,376
CC2,0.64000000000000001,0.41999999999999998,0.51000000000000001,3.0299999999999998,0.19,465
CC3,0.69999999999999996,0.56000000000000005,0.51000000000000001,5.1299999999999999,0.17999999999999999,451
